SWEAT index,K index,Totals totals index,Date,Environmental_Stability,Moisture_Indices,Convective_Potential,Temperature_Pressure,Moisture_Temperature_Profiles,TH
224.4,33.6,52.2,12/03/1981,-0.7999999999999998,34.7,362.1,5694,959.7,1
224.5,25.3,56.6,13/03/1981,-10.6,19.9,463.5,5543,929.43,1
113.3,24.8,37.6,14/03/1981,15.5,30.5,0.0,5677,970.75,0
163.9,22.8,46.0,16/03/1981,-2.4,31.4,1645.4,5649,967.48,0
175.0,20.8,43.0,17/03/1981,9.3,35.5,-105.7,5678,960.04,0
171.4,24.4,45.4,18/03/1981,3.3,37.6,90.4,5681,983.02,0
93.0,16.6,37.8,19/03/1981,2.8999999999999995,35.0,-10.400000000000006,5727,975.14,0
150.2,28.6,45.2,20/03/1981,-4.699999999999999,36.6,3105.1,5715,985.21,0
163.5,31.8,47.4,21/03/1981,-5.2,41.5,2901.2999999999997,5728,977.46,0
285.1,36.9,53.6,22/03/1981,-2.0,38.7,-168.29999999999998,5729,948.32,0
415.9,40.2,59.8,23/03/1981,-14.2,37.1,2727.4,5685,956.25,0
110.0,29.2,47.8,24/03/1981,-9.5,30.1,2287.0,5672,980.18,0
275.1,34.6,54.6,25/03/1981,-9.2,38.5,2320.2000000000003,5651,977.71,1
128.2,26.6,50.8,26/03/1981,-0.7999999999999998,27.0,79.70000000000002,5615,980.76,1
219.5,22.3,55.6,27/03/1981,-14.7,21.1,2743.5,5581,985.52,1
349.7,28.6,55.6,28/03/1981,-3.4,28.7,1245.2,5642,975.54,1
348.3,37.0,55.8,29/03/1981,0.09999999999999964,38.4,329.4,5686,957.02,1
320.0,38.3,54.0,30/03/1981,0.2999999999999998,42.0,903.3999999999999,5746,985.37,1
594.1,42.2,69.8,31/03/1981,-25.9,36.2,4418.4,5675,985.28,0
226.1,34.3,49.8,01/04/1981,5.199999999999999,37.4,-63.099999999999994,5672,975.18,0
225.7,35.5,46.6,02/04/1981,2.9,41.5,734.5,5727,977.65,0
310.7,34.8,53.8,03/04/1981,-8.7,42.5,2617.4,5758,995.1,1
509.5,41.3,56.0,04/04/1981,-11.7,51.9,34.4,5776,972.06,0
88.2,13.4,30.0,05/04/1981,0.7000000000000002,36.7,1971.8,5758,979.97,0
71.8,15.2,33.9,06/04/1981,-5.7,24.9,1935.0,5737,987.66,0
57.6,12.4,29.8,07/04/1981,9.4,26.6,-40.900000000000006,5720,942.67,0
67.9,5.0,26.3,08/04/1981,17.8,22.5,0.0,5760,951.71,0
87.3,5.4,30.5,09/04/1981,-0.2999999999999998,18.3,705.2,5713,942.31,0
75.7,16.6,34.5,10/04/1981,23.2,18.5,0.0,5710,723.65,0
98.9,18.4,40.9,11/04/1981,-6.3,30.1,1993.3999999999999,5737,964.31,0
155.1,20.0,48.8,12/04/1981,-13.2,31.2,41.099999999999994,5693,969.5,0
222.2,19.8,46.0,13/04/1981,7.6,39.7,-8.899999999999977,5742,977.89,0
252.0,36.3,49.0,14/04/1981,-0.49999999999999956,46.9,2423.2,5756,980.09,0
205.3,30.8,45.0,15/04/1981,-0.6000000000000001,41.0,2382.2,5734,980.15,1
231.9,31.6,48.6,16/04/1981,-2.3000000000000003,43.2,2667.2,5743,982.65,1
193.9,35.5,49.4,17/04/1981,3.5999999999999996,37.2,-282.6,5744,977.98,1
850.7,47.3,67.6,18/04/1981,-11.100000000000001,57.1,-85.0,5730,985.06,1
139.0,7.2,41.2,21/04/1981,3.6999999999999997,34.2,507.6,5757,990.31,0
280.7,32.8,52.0,22/04/1981,-7.1,43.4,4256.599999999999,5727,987.69,0
346.7,35.4,54.8,23/04/1981,-10.0,49.7,4268.0,5782,985.03,0
139.5,25.4,48.4,24/04/1981,-10.399999999999999,35.2,5058.5,5742,982.47,0
126.2,24.4,44.8,25/04/1981,-3.5999999999999996,25.0,225.3,5712,931.02,0
28.5,21.8,46.6,26/04/1981,-3.0999999999999996,26.8,623.1,5704,921.92,0
103.1,22.0,44.4,27/04/1981,-7.5,34.4,3347.6,5699,987.69,0
220.6,38.1,51.0,28/04/1981,-9.399999999999999,48.5,1.9,5757,997.57,0
258.7,31.4,53.2,29/04/1981,-9.399999999999999,37.2,3883.6,5741,972.18,0
306.4,36.7,54.6,30/04/1981,-2.2,38.0,1311.3999999999999,5779,930.4,0
134.8,33.5,47.8,01/05/1981,-8.5,37.9,3449.1,5690,998.09,0
163.8,34.5,50.4,02/05/1981,-12.3,41.4,3747.8999999999996,5725,985.06,1
231.7,36.5,52.0,03/05/1981,2.4999999999999996,41.2,151.8,5745,956.62,1
270.3,40.3,51.2,04/05/1981,-0.5,49.0,688.0,5752,977.71,1
141.8,33.1,46.4,05/05/1981,-0.8999999999999999,39.9,1450.9,5719,985.34,1
173.8,29.5,40.4,06/05/1981,3.1000000000000005,44.2,821.1999999999999,5705,982.77,0
252.7,36.7,45.0,07/05/1981,3.2,55.2,733.6,5753,980.15,0
167.6,32.5,43.4,08/05/1981,1.6999999999999997,48.1,807.6,5747,985.21,0
303.0,31.0,51.2,09/05/1981,-0.6999999999999993,54.1,143.6,5789,985.12,1
212.6,37.3,49.6,10/05/1981,6.5,48.0,-388.7,5817,961.9,1
165.7,31.3,45.6,11/05/1981,0.19999999999999973,41.6,557.4,5768,961.78,1
330.3,40.1,53.6,12/05/1981,-1.2999999999999998,45.8,765.5999999999999,5748,964.46,0
182.9,34.5,47.4,13/05/1981,-1.6000000000000005,43.6,621.1999999999999,5747,972.31,0
134.8,29.1,43.0,14/05/1981,-4.300000000000001,41.4,4418.2,5803,982.41,0
163.7,27.8,47.6,15/05/1981,-8.4,32.4,4264.400000000001,5746,920.95,0
194.4,31.0,50.2,16/05/1981,-9.5,33.5,3908.1,5777,935.81,0
217.7,23.0,45.0,17/05/1981,-6.800000000000001,44.1,7.5,5780,974.59,1
224.7,29.6,51.0,18/05/1981,0.0,42.1,105.19999999999999,5755,980.24,0
239.3,37.7,49.8,19/05/1981,-3.2,51.6,1593.3,5784,985.06,0
427.4,43.5,54.2,20/05/1981,6.999999999999999,76.4,-309.6,5902,974.66,0
228.8,36.3,45.4,21/05/1981,2.6,54.3,488.1,5764,958.72,0
229.8,18.6,49.8,22/05/1981,-1.2000000000000002,45.3,962.9,5814,985.09,0
149.4,17.6,46.4,23/05/1981,-3.3000000000000003,37.2,693.7,5769,980.09,0
298.0,32.4,50.0,24/05/1981,-2.7,52.9,2415.2,5795,979.84,0
147.3,30.5,46.8,25/05/1981,-3.2,45.5,673.1,5785,958.72,1
229.3,33.5,48.4,26/05/1981,1.6,48.4,277.2,5740,969.74,1
262.0,39.3,49.4,27/05/1981,-0.09999999999999964,54.7,-27.3,5746,990.22,1
217.1,23.2,45.4,28/05/1981,3.5,50.9,306.79999999999995,5785,995.13,1
196.4,33.7,45.2,29/05/1981,9.0,53.7,-400.4,5832,942.06,1
165.7,27.5,46.4,30/05/1981,-3.0,38.4,841.0,5755,982.68,1
360.4,37.7,54.8,31/05/1981,-11.1,48.5,2.5,5757,979.81,0
139.5,27.5,43.4,01/06/1981,0.7999999999999998,40.9,-3.3,5754,979.5,0
218.6,35.9,44.2,02/06/1981,4.0,45.4,1534.3,5758,936.01,0
211.5,15.0,43.2,03/06/1981,1.0,33.6,1656.6,5765,923.59,0
113.3,12.4,43.6,04/06/1981,-10.100000000000001,26.4,5800.400000000001,5748,879.7,1
259.6,37.9,52.4,05/06/1981,-1.4000000000000004,40.8,722.6999999999999,5754,847.29,0
334.7,40.3,54.6,06/06/1981,-5.5,44.4,1647.2,5736,897.53,0
271.3,29.0,54.6,07/06/1981,-2.1999999999999997,29.2,-72.0,5714,806.48,0
185.7,32.3,47.8,08/06/1981,-0.6000000000000005,35.7,935.1999999999999,5742,895.14,0
212.2,31.0,48.2,09/06/1981,-3.7,34.1,2410.0,5722,911.07,0
222.0,32.3,47.2,10/06/1981,-3.6999999999999997,51.5,2508.7000000000003,5767,974.69,1
209.2,35.9,49.4,11/06/1981,-3.3000000000000003,43.2,3003.2999999999997,5769,931.12,0
158.1,21.8,40.2,12/06/1981,7.699999999999999,31.1,-120.30000000000001,5787,878.16,0
133.3,19.0,43.2,13/06/1981,-1.6999999999999997,26.4,3088.2,5731,889.4,0
31.0,19.0,37.9,14/06/1981,-4.7,19.7,3414.2000000000003,5721,840.1,0
257.3,33.0,50.6,15/06/1981,17.7,37.4,0.0,5764,723.26,0
165.9,15.2,43.2,16/06/1981,-12.5,32.5,6395.4,5786,935.59,1
226.5,30.5,40.8,17/06/1981,9.0,44.8,-4.6000000000000005,5775,936.09,0
253.0,36.3,47.0,18/06/1981,0.40000000000000036,47.8,2696.7999999999997,5763,931.14,1
265.0,38.3,45.6,19/06/1981,3.1999999999999997,52.2,9.7,5780,928.62,1
292.6,39.9,44.6,20/06/1981,2.9000000000000004,46.6,18.900000000000002,5759,933.64,0
312.1,35.3,42.0,21/06/1981,5.699999999999999,55.0,1807.7,5697,935.95,0
332.8,37.5,43.8,22/06/1981,4.1000000000000005,52.7,2110.4,5743,949.99,0
242.1,32.5,43.0,23/06/1981,-5.9,48.1,7243.3,5767,942.96,0
223.5,33.1,44.2,24/06/1981,2.1000000000000005,45.8,1838.7,5778,938.34,0
227.7,37.3,47.8,25/06/1981,-4.1,62.1,3578.3,5800,982.44,0
277.8,42.5,45.4,26/06/1981,6.6,78.3,1177.3,5870,977.28,0
257.9,30.5,43.2,27/06/1981,1.6999999999999997,59.9,2794.3,5828,982.44,0
225.5,30.5,42.8,28/06/1981,0.2999999999999998,53.7,1940.8,5796,977.28,0
201.0,31.1,43.2,29/06/1981,-4.800000000000001,48.0,3043.0,5760,985.03,0
297.0,45.3,50.4,30/06/1981,-2.5999999999999996,62.0,4062.8,5785,942.98,0
284.2,42.7,47.8,01/07/1981,1.2000000000000002,70.6,1656.3,5772,962.77,1
275.7,38.3,42.8,02/07/1981,3.7,56.7,1339.5,5772,902.77,1
255.0,39.3,45.0,03/07/1981,2.6,51.3,2081.9,5739,918.68,1
242.9,36.1,43.0,04/07/1981,4.1,49.5,1429.2,5778,910.87,0
182.1,31.1,43.2,05/07/1981,6.8999999999999995,38.1,-43.39999999999998,5735,863.52,0
238.5,36.5,46.8,06/07/1981,-0.8999999999999995,48.3,3782.7,5763,945.37,0
237.6,32.9,41.0,07/07/1981,3.8,47.7,2206.2999999999997,5741,940.73,0
175.1,30.3,43.4,08/07/1981,-3.6,35.3,3793.1,5691,933.59,0
263.4,41.5,47.2,09/07/1981,2.4000000000000004,57.4,2514.4,5767,949.99,1
225.3,34.2,35.0,10/07/1981,10.5,39.7,88.0,5860,923.73,1
253.9,40.9,49.2,11/07/1981,1.0999999999999996,48.6,3.0,5754,933.59,0
221.0,36.9,44.0,12/07/1981,5.0,51.9,424.9,5732,940.76,0
261.5,38.9,45.4,13/07/1981,3.4,52.0,1292.4,5778,945.4,0
245.7,37.1,45.2,14/07/1981,6.4,50.3,313.8,5778,933.64,0
254.3,37.3,45.0,15/07/1981,5.1,47.2,1236.0,5774,923.73,1
257.1,39.5,44.4,16/07/1981,2.8,62.6,1541.4,5805,935.84,1
280.7,42.5,48.6,17/07/1981,4.0,72.6,1232.6,5818,995.1,0
249.4,40.9,45.6,18/07/1981,1.9000000000000004,67.7,1851.3999999999999,5808,987.59,1
247.0,41.3,47.4,19/07/1981,-1.5,65.0,2562.2000000000003,5770,982.5,0
242.6,39.7,44.4,20/07/1981,5.2,61.0,850.9,5830,931.06,0
215.7,33.3,42.0,21/07/1981,5.199999999999999,46.2,828.0999999999999,5792,935.95,1
221.1,36.1,47.0,22/07/1981,0.40000000000000036,46.5,2814.6,5758,918.73,0
250.8,38.1,50.0,23/07/1981,1.5999999999999996,43.0,-43.800000000000004,5749,889.92,0
259.1,38.5,46.8,24/07/1981,0.39999999999999947,59.9,3507.9,5803,987.56,0
239.4,32.9,47.0,25/07/1981,-2.0,60.0,4219.8,5826,987.53,0
221.2,34.9,46.2,26/07/1981,-3.5000000000000004,53.8,4290.0,5798,985.0,1
259.7,40.5,49.0,27/07/1981,-3.3000000000000003,63.5,4070.7,5783,987.56,0
221.1,36.3,46.8,28/07/1981,-6.0,57.3,4296.599999999999,5756,987.53,1
270.9,39.7,49.2,29/07/1981,-3.6999999999999997,66.6,3173.6,5825,984.94,0
251.9,40.5,45.6,30/07/1981,-2.3000000000000003,65.2,5625.4,5791,974.59,1
232.2,38.1,46.4,31/07/1981,3.5000000000000004,49.5,1141.2,5746,923.87,1
242.8,32.9,45.2,01/08/1981,2.2,53.8,1731.1999999999998,5791,983.12,0
188.0,32.3,42.8,02/08/1981,7.1,42.1,365.5,5751,903.46,0
271.9,35.5,44.2,03/08/1981,3.3000000000000003,48.6,2508.6,5795,938.34,0
261.2,38.7,46.8,04/08/1981,1.7000000000000002,50.9,943.8000000000001,5770,938.34,0
289.0,41.3,45.6,05/08/1981,4.4,60.5,1924.9,5789,947.68,0
251.0,32.7,47.0,06/08/1981,1.8000000000000007,47.6,1230.8,5769,913.48,0
244.2,30.7,38.6,07/08/1981,12.600000000000001,40.4,0.0,5782,860.42,0
365.0,36.7,40.0,08/08/1981,8.2,60.6,11.100000000000001,5796,938.29,0
299.7,37.3,43.6,09/08/1981,15.2,55.8,0.0,5843,878.41,1
266.0,33.7,42.4,10/08/1981,6.800000000000001,53.7,387.4,5842,923.65,1
260.2,35.7,43.2,11/08/1981,4.4,52.9,1126.9,5805,913.35,0
276.6,40.3,48.4,12/08/1981,-1.5,53.5,2220.4,5761,931.03,1
271.7,40.7,46.8,13/08/1981,-0.7000000000000002,58.0,997.6,5741,935.84,0
319.5,37.5,44.6,14/08/1981,5.1,56.1,2410.2999999999997,5756,935.87,0
305.7,37.3,43.6,15/08/1981,6.4,52.8,716.5999999999999,5762,949.99,0
215.7,26.5,42.4,16/08/1981,1.5999999999999996,43.8,5.900000000000006,5824,982.5,0
289.4,40.1,45.4,17/08/1981,2.7,70.9,1798.3,5836,992.6,1
271.2,43.9,49.2,18/08/1981,-3.2,56.8,4672.8,5812,930.87,0
240.3,36.7,47.2,19/08/1981,-3.6000000000000005,47.0,4821.8,5775,928.45,1
289.1,39.9,45.8,25/08/1981,-0.09999999999999964,62.1,769.4,5803,984.94,1
271.7,38.1,51.2,26/08/1981,-6.5,59.3,3702.0,5773,982.44,0
204.8,35.3,45.8,27/08/1981,-0.8000000000000003,52.6,1589.6000000000001,5766,972.15,0
215.7,36.3,45.2,28/08/1981,-0.39999999999999947,61.0,578.6,5815,982.44,0
265.2,39.9,43.0,29/08/1981,4.7,73.8,1241.3,5848,992.6,0
233.6,36.3,46.2,30/08/1981,-1.7999999999999998,59.1,3114.2999999999997,5800,992.6,1
336.4,42.3,53.0,31/08/1981,-5.0,60.6,3190.8,5784,992.57,1
240.7,39.1,45.4,01/09/1981,-2.1999999999999997,67.3,4749.3,5805,994.54,1
277.3,42.1,50.8,02/09/1981,-4.6,63.0,2420.1,5801,995.07,1
219.1,38.9,47.4,03/09/1981,-3.6999999999999997,58.5,2283.1,5767,992.57,0
314.3,42.9,52.6,04/09/1981,-7.300000000000001,57.2,3972.6,5731,995.1,0
238.8,38.3,45.8,05/09/1981,0.7999999999999998,64.0,1758.3000000000002,5804,985.03,1
293.3,42.9,51.0,06/09/1981,-6.199999999999999,64.0,4865.4,5772,995.07,0
266.7,41.9,46.0,07/09/1981,1.8999999999999995,72.8,1286.5,5788,997.54,0
246.7,35.1,41.4,08/09/1981,1.7000000000000002,63.0,2121.4,5802,992.57,0
163.1,27.1,40.4,09/09/1981,-2.4,48.4,2432.9,5782,985.03,0
209.1,34.1,43.6,10/09/1981,-1.9000000000000004,51.8,2720.5,5788,992.6,1
189.4,33.3,45.6,11/09/1981,-4.3,49.6,3996.4,5764,992.6,0
204.8,29.8,48.0,12/09/1981,-5.3,44.1,3117.7000000000003,5758,982.5,1
229.2,34.5,48.2,13/09/1981,-5.2,55.5,3474.2000000000003,5779,987.53,1
216.3,31.4,49.8,14/09/1981,-5.5,48.3,2365.0,5755,990.13,1
271.4,41.3,51.4,15/09/1981,-5.4,63.4,2101.9,5793,995.1,0
138.9,26.7,40.4,16/09/1981,-5.5,40.8,2782.6,5707,995.1,0
201.8,35.3,47.2,17/09/1981,-2.1000000000000005,50.2,2228.6000000000004,5764,985.09,0
227.6,38.3,49.4,18/09/1981,-5.199999999999999,56.5,3255.3,5756,987.59,1
299.3,40.7,50.0,19/09/1981,1.6000000000000005,64.5,-47.1,5825,987.63,0
261.0,38.1,49.0,20/09/1981,-1.0,58.6,3038.9,5778,985.06,0
232.6,37.5,49.0,21/09/1981,-2.8,57.3,2349.2000000000003,5793,992.63,0
219.1,34.1,45.6,22/09/1981,0.09999999999999964,56.6,1486.1000000000001,5790,977.31,1
206.1,32.3,43.6,23/09/1981,-1.6000000000000005,51.5,2281.8,5790,982.44,0
332.2,37.7,53.8,24/09/1981,-10.8,49.4,3098.4,5797,971.94,0
402.7,46.9,54.2,25/09/1981,-4.800000000000001,71.2,4271.900000000001,5817,982.38,1
502.5,43.9,51.8,26/09/1981,-0.20000000000000018,59.5,11.9,5770,985.12,0
263.0,39.5,47.2,27/09/1981,-0.7999999999999998,65.1,3197.1000000000004,5788,992.63,0
205.4,20.8,47.8,28/09/1981,-6.4,41.9,2959.5,5750,987.63,1
188.2,26.3,39.6,29/09/1981,0.2999999999999998,42.0,2034.7,5775,987.59,1
264.4,40.5,50.8,30/09/1981,-1.4000000000000004,55.7,724.0,5764,980.12,0
158.8,12.8,43.6,01/10/1981,-5.1,37.0,2703.0,5744,986.45,0
212.0,34.1,41.8,02/10/1981,2.4000000000000004,50.5,3019.8,5753,966.78,0
157.2,17.8,35.6,03/10/1981,5.7,36.8,1049.4,5764,980.03,0
141.3,13.4,33.4,04/10/1981,5.7,36.8,1566.1,5766,964.1,0
31.0,-0.8,21.7,05/10/1981,9.4,25.8,292.3,5754,972.27,0
42.7,13.2,16.9,06/10/1981,11.6,28.3,96.9,5760,969.8,0
48.5,7.4,21.5,07/10/1981,12.899999999999999,29.0,-89.5,5770,956.41,0
27.2,0.6,23.0,08/10/1981,14.399999999999999,25.4,-117.99999999999999,5782,964.52,0
155.3,17.2,40.6,09/10/1981,4.1000000000000005,34.4,80.69999999999999,5728,980.24,0
93.9,10.2,32.4,10/10/1981,6.800000000000001,29.7,107.10000000000001,5736,967.33,0
147.5,10.0,34.4,11/10/1981,19.4,35.2,0.0,5834,967.33,0
157.1,17.0,39.6,12/10/1981,3.9999999999999996,35.1,268.5,5732,982.74,0
179.4,28.9,43.2,13/10/1981,1.2999999999999998,37.9,1304.1,5715,961.69,0
94.5,26.3,39.6,14/10/1981,-4.4,36.5,2103.0,5733,955.95,0
159.7,29.4,45.2,15/10/1981,-2.0999999999999996,35.7,1166.3999999999999,5688,972.52,0
184.6,29.6,45.4,16/10/1981,-2.5,39.9,1618.8,5714,987.72,0
89.9,5.2,35.0,17/10/1981,4.9,26.9,67.9,5722,959.18,0
47.3,-0.6,29.6,18/10/1981,9.6,27.1,0.0,5740,964.77,0
126.4,6.6,33.8,19/10/1981,10.7,32.0,-22.700000000000003,5752,959.18,0
67.3,2.2,30.6,20/10/1981,9.3,25.2,-23.700000000000003,5750,967.3,0
133.6,5.6,34.8,21/10/1981,14.100000000000001,30.1,-92.2,5742,948.59,0
127.5,1.4,31.4,22/10/1981,12.9,28.7,-50.3,5752,970.08,0
146.7,6.4,36.4,23/10/1981,11.1,28.4,0.0,5749,942.73,0
184.1,12.0,40.6,24/10/1981,12.299999999999999,36.6,-104.8,5778,962.08,0
188.3,34.9,45.8,25/10/1981,4.6,42.7,-11.399999999999991,5763,959.06,0
150.9,30.3,44.8,26/10/1981,-0.7999999999999998,39.9,826.0,5696,982.77,0
223.1,39.1,47.6,27/10/1981,7.0,50.7,-193.10000000000002,5731,936.84,0
158.8,26.4,42.8,28/10/1981,3.2,36.9,139.4,5714,953.84,0
167.1,25.5,41.6,29/10/1981,10.0,39.4,0.0,5770,939.9,0
40.7,16.3,28.3,30/10/1981,10.4,22.9,0.0,5735,919.33,0
52.4,13.8,32.1,31/10/1981,6.5,22.4,0.0,5695,965.1,0
71.6,17.6,37.2,01/11/1981,5.0,24.3,0.0,5671,987.79,0
137.8,20.0,38.2,02/11/1981,15.7,27.1,0.0,5747,931.84,0
175.1,14.6,41.2,03/11/1981,8.2,32.8,0.0,5759,956.62,0
196.6,27.6,44.6,04/11/1981,2.5,41.2,616.1,5749,972.4,0
193.4,24.6,44.2,05/11/1981,0.3999999999999999,36.4,1158.7,5699,972.37,0
232.2,21.4,48.6,06/11/1981,12.8,38.5,0.0,5737,916.49,0
114.8,18.2,44.0,07/11/1981,2.4000000000000004,29.6,-151.8,5678,959.73,0
62.1,2.2,27.7,08/11/1981,13.8,22.9,-345.5,5713,954.45,0
54.3,5.2,26.7,09/11/1981,14.1,23.9,-218.4,5706,951.77,0
86.0,7.4,34.4,10/11/1981,9.5,27.8,0.0,5706,970.47,0
82.2,9.2,31.4,11/11/1981,12.2,23.9,0.0,5679,965.23,0
56.3,9.4,24.3,12/11/1981,5.2,20.0,7.299999999999997,5633,954.51,0
141.3,9.6,41.0,13/11/1981,6.1,22.0,-37.7,5622,954.7,0
112.1,21.0,41.6,14/11/1981,6.3,24.6,-195.4,5662,943.53,0
75.7,11.0,31.3,15/11/1981,17.8,19.1,0.0,5660,902.66,0
105.5,11.8,33.8,16/11/1981,20.299999999999997,29.3,0.0,5694,914.84,0
125.5,13.4,34.2,17/11/1981,17.9,33.7,0.0,5718,954.79,0
104.4,9.0,40.8,18/11/1981,11.3,24.4,0.0,5680,975.75,0
154.8,9.2,39.0,19/11/1981,15.7,31.6,0.0,5713,940.66,0
51.7,7.6,28.8,20/11/1981,18.6,26.2,0.0,5708,965.47,0
36.9,6.8,31.5,21/11/1981,18.1,18.5,0.0,5712,920.85,0
72.5,11.2,38.6,22/11/1981,14.8,19.3,0.0,5685,899.4,0
42.7,8.4,30.9,23/11/1981,22.7,18.9,0.0,5686,927.63,0
34.9,12.0,37.0,24/11/1981,17.0,15.5,0.0,5663,868.55,0
