YEAR,MONTH,DAY,SWEAT index,Showalter index,LIFTED index,K index,Cross totals index,Vertical totals index,Totals totals index,TLCL,PLCL,CINE,CAPE,PRECIPITABLE WATER,1000-500 THICKNESS
1981,1,27,129,1.9,-0.6,12.6,22.5,26.9,49.4,287.66,965.59,-107,143.5,22.9,5591
1981,1,28,140.1,4.7,2.6,9.6,18.7,24.3,43,286.85,963.12,0,0,20.6,5608
1981,1,30,180.6,4.4,1.2,29.8,21.9,27.5,49.4,288.95,983.26,0,0,31.7,5656
1981,1,31,337.6,0.4,-4.9,36,24.9,29.7,54.6,292.69,980.42,-74.7,849,36.9,5677
1981,2,1,306.8,1.1,-6.9,36.5,26.1,27.1,53.2,289.56,1000.96,0,0,33.2,5583
1981,2,2,56.3,3.3,0.5,13.8,11.6,26.9,38.5,288.97,990.55,-57.2,63.6,23.8,5596
1981,2,3,71.9,9.1,8.9,7.2,14.9,20.7,35.6,281.9,912.77,0,0,24.2,5617
1981,2,4,126.5,11.4,10,7.8,13.5,18.5,32,285.73,968.52,0,0,23.6,5640
1981,2,5,109.3,13.5,11.7,6.8,9.9,21.9,31.8,285.92,968.49,0,0,23,5684
1981,2,6,87.1,5.4,3.8,8.4,15.7,27.7,43.4,284.78,930.04,0,0,19.5,5647
1981,2,7,82.8,6.6,4.6,16,14.3,27.1,41.4,286.7,968.37,0,0,20.8,5649
1981,2,8,240.2,1.3,-2.4,30.4,23.7,28.1,51.8,289.93,980.67,-66.7,387.3,29.1,5623
1981,2,9,180.1,4.8,4.3,27,22.7,26.5,49.2,282.75,909.19,0,0,24.9,5620
1981,2,10,172.2,2.5,0.1,32.4,23.3,26.5,49.8,288.16,985.76,-2.3,28.1,29.9,5610
1981,2,11,139.3,11.6,11.7,11.8,13.3,16.5,29.8,285,988.39,0,0,24.4,5586
1981,2,12,80.3,7.2,7.5,11.4,16.9,23.1,40,283.77,968.83,0,0,18.3,5618
1981,2,13,74.2,9.6,8.6,1.4,10.7,18.5,29.2,285.95,973.59,0,0,20.2,5611
1981,2,14,81.5,7.7,3.8,-0.8,8,20.7,28.7,289.7,975.66,0,0,23.2,5677
1981,2,15,135.9,6.9,1.8,10,12.1,27.5,39.6,291.29,978.01,0,0,27.6,5722
1981,2,16,135.3,2.5,-3.4,13.8,15.5,26.3,41.8,293.75,997.6,-24.2,257.5,26.2,5691
1981,2,17,162,3.1,-1.9,16.6,18.7,24.7,43.4,291.55,951.22,-74.2,318.5,28.7,5677
1981,2,18,111,8.4,6.5,8,14.5,20.7,35.2,286.21,944.11,0,0,19.4,5639
1981,2,19,64,7,6.1,4.8,10.4,22.9,33.3,283.56,918.32,0,0,15.3,5634
1981,2,20,66,8.1,7.1,3.8,4.4,25.3,29.7,283.12,909.01,0,0,15.5,5673
1981,2,21,71.8,7.9,5.7,7,9.8,26.1,35.9,285.91,938.46,0,0,19.9,5675
1981,2,22,66,5.3,3.7,7.6,7.6,27.1,34.7,283.08,874.47,0,0,16.2,5663
1981,2,23,70.5,10.3,8.6,6.8,12.7,23.9,36.6,285.88,963.3,0,0,21.5,5685
1981,2,24,73.7,2.9,1.4,12,3.8,27.3,31.1,284.95,920.85,0,0,14.1,5613
1981,2,25,67.9,2.6,-0.3,10.6,14.9,31.7,46.6,287.65,949.36,-481,2,19,5672
1981,2,26,91.3,2.7,-1.8,23.6,14.5,30.1,44.6,290.43,942.95,-218.3,39.5,24,5710
1981,2,27,112.6,3.7,-0.3,28,16.1,33.9,50,288.72,934.68,-321.3,411.4,21.6,5689
1981,3,1,460.2,-1.9,-7,36.6,23.3,34.9,58.2,293.26,987.57,-170.8,1750.7,33.8,5689
1981,3,2,203.1,-0.3,-4.9,29.2,19.9,32.3,52.2,290.04,943.04,-188.5,942.5,25.1,5664
1981,3,3,100.4,5.2,4.2,17,17.7,26.7,44.4,280.86,848.65,0,0,22.1,5644
1981,3,4,44.6,9.8,9.2,4.6,8.2,24.1,32.3,281.72,899.86,0,0,21.1,5666
1981,3,5,54.1,7.2,4,6.2,11.9,23.7,35.6,286.8,926.32,0,0,21.6,5687
1981,3,6,146.3,8.5,4.5,15,16.9,26.1,43,288.01,928.91,0,0,26.3,5726
1981,3,7,119,5.4,0.4,18.6,16.1,27.3,43.4,290.1,945.91,-198.2,51.5,25.4,5702
1981,3,8,69.8,-1.7,-5.9,21,11.6,33.7,45.3,289.86,918.96,-209.5,2212.4,18.6,5661
1981,3,9,108.2,-1.7,-7.3,30,17.7,32.1,49.8,292.48,939.44,-149.7,2933.3,31.6,5682
1981,3,10,181.4,0.6,-3.9,33.1,20.7,30.3,51,289.77,948.84,-147.5,750.5,30.5,5675
1981,3,11,403,-2.9,-9.6,34.4,24.7,35.1,59.8,294.9,985.28,-136.5,3009.3,38.6,5691
1981,3,12,224.4,2.1,-2.9,33.6,22.1,30.1,52.2,290.71,959.7,-181.6,543.7,34.7,5694
1981,3,13,224.5,-4.3,-6.3,25.3,23.3,33.3,56.6,286.49,929.43,-131.9,595.4,19.9,5543
1981,3,14,113.3,9.3,6.2,24.8,14.5,23.1,37.6,288.09,970.75,0,0,30.5,5677
1981,3,16,163.9,1.4,-3.8,22.8,20.3,25.7,46,292.38,967.48,-39.8,1685.2,31.4,5649
1981,3,17,175,6.5,2.8,20.8,18.9,24.1,43,288.96,960.04,-108.9,3.2,35.5,5678
1981,3,18,171.4,4,-0.7,24.4,21.3,24.1,45.4,291.92,983.02,-37,127.4,37.6,5681
1981,3,19,93,4.6,-1.7,16.6,13.3,24.5,37.8,293.83,975.14,-63.7,53.3,35,5727
1981,3,20,150.2,1.4,-6.1,28.6,18.5,26.7,45.2,296.09,985.21,-29.8,3134.9,36.6,5715
1981,3,21,163.5,1.3,-6.5,31.8,20.3,27.1,47.4,296.41,977.46,-20.9,2922.2,41.5,5728
1981,3,22,285.1,1.6,-3.6,36.9,23.1,30.5,53.6,291.89,948.32,-173.2,4.9,38.7,5729
1981,3,23,415.9,-4,-10.2,40.2,26.1,33.7,59.8,294.17,956.25,-93.1,2820.5,37.1,5685
1981,3,24,110,-1.5,-8,29.2,17.7,30.1,47.8,295.06,980.18,-50,2337,30.1,5672
1981,3,25,275.1,-1.7,-7.5,34.6,24.1,30.5,54.6,294.05,977.71,-48.2,2368.4,38.5,5651
1981,3,26,128.2,1.1,-1.9,26.6,19.9,30.9,50.8,289.14,980.76,-109.1,188.8,27,5615
1981,3,27,219.5,-5.2,-9.5,22.3,22.3,33.3,55.6,291.73,985.52,-46.9,2790.4,21.1,5581
1981,3,28,349.7,0.4,-3.8,28.6,27.1,28.5,55.6,290.69,975.54,-65.8,1311,28.7,5642
1981,3,29,348.3,2.3,-2.2,37,25.7,30.1,55.8,290.48,957.02,-198.1,527.5,38.4,5686
1981,3,30,320,3.3,-3,38.3,23.1,30.9,54,293.91,985.37,-192.7,1096.1,42,5746
1981,3,31,594.1,-9.6,-16.3,42.2,31.9,37.9,69.8,295.29,985.28,-27.6,4446,36.2,5675
1981,4,1,226.1,4.6,0.6,34.3,21.7,28.1,49.8,290.84,975.18,-196,132.9,37.4,5672
1981,4,2,225.7,4.8,-1.9,35.5,21.1,25.5,46.6,294.64,977.65,-40.1,774.6,41.5,5727
1981,4,3,310.7,0,-8.7,34.8,23.1,30.7,53.8,297.93,995.1,-26.4,2643.8,42.5,5758
1981,4,4,509.5,-1.6,-10.1,41.3,25.9,30.1,56,297.53,972.06,-6.9,41.3,51.9,5776
1981,4,5,88.2,4.4,-3.7,13.4,5.3,24.7,30,297.42,979.97,-63.5,2035.3,36.7,5758
1981,4,6,71.8,1.2,-6.9,15.2,3.4,30.5,33.9,297.29,987.66,-88.3,2023.3,24.9,5737
1981,4,7,57.6,7.2,2.2,12.4,6.9,22.9,29.8,291.39,942.67,-119.4,78.5,26.6,5720
1981,4,8,67.9,11.1,6.7,5,1.2,25.1,26.3,289.42,951.71,0,0,22.5,5760
1981,4,9,87.3,2.7,-3,5.4,3.4,27.1,30.5,292.73,942.31,-135.7,840.9,18.3,5713
1981,4,10,75.7,11.6,11.6,16.6,5.6,28.9,34.5,272,723.65,0,0,18.5,5710
1981,4,11,98.9,0.4,-6.7,18.4,9.6,31.3,40.9,295.27,964.31,-130.8,2124.2,30.1,5737
1981,4,12,155.1,-2.8,-10.4,20,17.1,31.7,48.8,296.71,969.5,-8.7,49.8,31.2,5693
1981,4,13,222.2,6.5,1.1,19.8,22.7,23.3,46,292.47,977.89,-260.7,251.8,39.7,5742
1981,4,14,252,3.6,-4.1,36.3,23.9,25.1,49,296.24,980.09,-25.5,2448.7,46.9,5756
1981,4,15,205.3,3.3,-3.9,30.8,22.1,22.9,45,295.65,980.15,-5.4,2387.6,41,5734
1981,4,16,231.9,2.6,-4.9,31.6,23.1,25.5,48.6,296.06,982.65,-23,2690.2,43.2,5743
1981,4,17,193.9,4.3,-0.7,35.5,17.5,31.9,49.4,291.49,977.98,-374.1,91.5,37.2,5744
1981,4,18,850.7,-2.8,-8.3,47.3,32.3,35.3,67.6,298.07,985.06,-104.6,19.6,57.1,5730
1981,4,21,139,5.1,-1.4,7.2,17.1,24.1,41.2,294.33,990.31,-119.9,627.5,34.2,5757
1981,4,22,280.7,0.4,-7.5,32.8,24.9,27.1,52,296.9,987.69,-3.6,4260.2,43.4,5727
1981,4,23,346.7,-0.3,-9.7,35.4,25.7,29.1,54.8,298.86,985.03,-30.7,4298.7,49.7,5782
1981,4,24,139.5,-0.7,-9.7,25.4,18.3,30.1,48.4,298.63,982.47,-30.6,5089.1,35.2,5742
1981,4,25,126.2,3.7,-7.3,24.4,16.7,28.1,44.8,290.75,931.02,-179.5,404.8,25,5712
1981,4,26,28.5,0.7,-3.8,21.8,13.3,33.3,46.6,290.32,921.92,-271.9,895,26.8,5704
1981,4,27,103.1,0.2,-7.7,22,15.3,29.1,44.4,296.9,987.69,-24.3,3371.9,34.4,5699
1981,4,28,220.6,-0.2,-9.2,38.1,20.1,30.9,51,298.34,997.57,-0.5,2.4,48.5,5757
1981,4,29,258.7,-0.7,-8.7,31.4,21.5,31.7,53.2,296.75,972.18,-79,3962.6,37.2,5741
1981,4,30,306.4,2,-4.2,36.7,21.9,32.7,54.6,292.65,930.4,-279.2,1590.6,38,5779
1981,5,1,134.8,-0.6,-7.9,33.5,18.9,28.9,47.8,296.91,998.09,-48,3497.1,37.9,5690
1981,5,2,163.8,-1.8,-10.5,34.5,18.5,31.9,50.4,298.07,985.06,-40.8,3788.7,41.4,5725
1981,5,3,231.7,4.1,-1.6,36.5,20.7,31.3,52,292.42,956.62,-296.5,448.3,41.2,5745
1981,5,4,270.3,3,-3.5,40.3,23.1,28.1,51.2,294.05,977.71,-69.5,757.5,49,5752
1981,5,5,141.8,2.7,-3.6,33.1,20.3,26.1,46.4,294.3,985.34,-25.1,1476,39.9,5719
1981,5,6,173.8,4.9,-1.8,29.5,17.7,22.7,40.4,294.88,982.77,-20.1,841.3,44.2,5705
1981,5,7,252.7,5.2,-2,36.7,21.7,23.3,45,295.45,980.15,-9.3,742.9,55.2,5753
1981,5,8,167.6,4.6,-2.9,32.5,19.5,23.9,43.4,296.09,985.21,-16.9,824.5,48.1,5747
1981,5,9,303,4.4,-5.1,31,24.5,26.7,51.2,297.47,985.12,-66.4,210,54.1,5789
1981,5,10,212.6,6.5,0,37.3,19.3,30.3,49.6,293.47,961.9,-393.9,5.2,48,5817
1981,5,11,165.7,3.4,-3.2,31.3,17.1,28.5,45.6,294.25,961.78,-154.9,712.3,41.6,5768
1981,5,12,330.3,2.6,-3.9,40.1,23.3,30.3,53.6,294.29,964.46,-155.3,920.9,45.8,5748
1981,5,13,182.9,2.8,-4.4,34.5,18.9,28.5,47.4,295.77,972.31,-90.1,711.3,43.6,5747
1981,5,14,134.8,2.6,-6.9,29.1,13.1,29.9,43,299.43,982.41,-96,4514.2,41.4,5803
1981,5,15,163.7,1.2,-9.6,27.8,17.3,30.3,47.6,297.3,920.95,-32.2,4296.6,32.4,5746
1981,5,16,194.4,1,-10.5,31,17.9,32.3,50.2,298.26,935.81,-56.8,3964.9,33.5,5777
1981,5,17,217.7,1.1,-7.9,23,18.7,26.3,45,298.74,974.59,-16.8,24.3,44.1,5780
1981,5,18,224.7,3.2,-3.2,29.6,21.1,29.9,51,294.47,980.24,-175.8,281,42.1,5755
1981,5,19,239.3,2.8,-6,37.7,23.9,25.9,49.8,298.27,985.06,-20.8,1614.1,51.6,5784
1981,5,20,427.4,8.2,-1.2,43.5,25.1,29.1,54.2,298.15,974.66,-413.6,104,76.4,5902
1981,5,21,228.8,5,-2.4,36.3,21.7,23.7,45.4,295.76,958.72,-33.4,521.5,54.3,5764
1981,5,22,229.8,3.8,-5,18.6,21.9,27.9,49.8,297.87,985.09,-81.1,1044,45.3,5814
1981,5,23,149.4,2.1,-5.4,17.6,16.3,30.1,46.4,296.04,980.09,-86.8,780.5,37.2,5769
1981,5,24,298,3.2,-5.9,32.4,23.7,26.3,50,298.8,979.84,-21,2436.2,52.9,5795
1981,5,25,147.3,2.2,-5.4,30.5,17.1,29.7,46.8,295.76,958.72,-122.9,796,45.5,5785
1981,5,26,229.3,4.2,-2.6,33.5,23.3,25.1,48.4,294.95,969.74,-78.3,355.5,48.4,5740
1981,5,27,262,3.7,-3.8,39.3,24.1,25.3,49.4,296.31,990.22,-28.5,1.2,54.7,5746
1981,5,28,217.1,5.7,-2.2,23.2,18.7,26.7,45.4,296.74,995.13,-132.9,439.7,50.9,5785
1981,5,29,196.4,7.9,1.1,33.7,15.7,29.5,45.2,293.69,942.06,-407.7,7.3,53.7,5832
1981,5,30,165.7,2.2,-5.2,27.5,17.7,28.7,46.4,295.87,982.68,-98.7,939.7,38.4,5755
1981,5,31,360.4,-1,-10.1,37.7,24.5,30.3,54.8,299.2,979.81,-4.6,7.1,48.5,5757
1981,6,1,139.5,3.9,-3.1,27.5,16.3,27.1,43.4,295.62,979.5,-5.6,2.3,40.9,5754
1981,6,2,218.6,6.9,-2.9,35.9,21.5,22.7,44.2,295.3,936.01,-6.7,1541,45.4,5758
1981,6,3,211.5,5.8,-4.8,15,19.3,23.9,43.2,296.55,923.59,-13.2,1669.8,33.6,5765
1981,6,4,113.3,0.2,-10.3,12.4,12.3,31.3,43.6,296.76,879.7,-100.4,5900.8,26.4,5748
1981,6,5,259.6,3.3,-4.7,37.9,19.5,32.9,52.4,290.88,847.29,-331.6,1054.3,40.8,5754
1981,6,6,334.7,2,-7.5,40.3,23.1,31.5,54.6,294.72,897.53,-108.5,1755.7,44.4,5736
1981,6,7,271.3,1.9,-4.1,29,21.5,33.1,54.6,286.23,806.48,-484.1,412.1,29.2,5714
1981,6,8,185.7,4.1,-4.7,32.3,19.9,27.9,47.8,293.12,895.14,-107.1,1042.3,35.7,5742
1981,6,9,212.2,2.8,-6.5,31,22.1,26.1,48.2,294.41,911.07,-21.3,2431.3,34.1,5722
1981,6,10,222,2.4,-6.1,32.3,22.5,24.7,47.2,297.96,974.69,-9.1,2517.8,51.5,5767
1981,6,11,209.2,3.4,-6.7,35.9,23.3,26.1,49.4,295.85,931.12,-7.8,3011.1,43.2,5769
1981,6,12,158.1,8.2,-0.5,21.8,14.9,25.3,40.2,292.31,878.16,-176.9,56.6,31.1,5787
1981,6,13,133.3,3.6,-5.3,19,15.3,27.9,43.2,293.56,889.4,-79.5,3167.7,26.4,5731
1981,6,14,31,1.7,-6.4,19,5.6,32.3,37.9,291.72,840.1,-259.2,3673.4,19.7,5721
1981,6,15,257.3,11.2,6.5,33,21.1,29.5,50.6,279.12,723.26,0,0,37.4,5764
1981,6,16,165.9,0.2,-12.7,15.2,16.7,26.5,43.2,301.63,935.59,-2,6397.4,32.5,5786
1981,6,17,226.5,9.1,-0.1,30.5,19.7,21.1,40.8,294.11,936.09,-5.9,1.3,44.8,5775
1981,6,18,253,5.2,-4.8,36.3,23.1,23.9,47,295.65,931.14,-5.9,2702.7,47.8,5763
1981,6,19,265,6.8,-3.6,38.3,21.9,23.7,45.6,296.21,928.62,-11.7,21.4,52.2,5780
1981,6,20,292.6,8.5,-5.6,39.9,21.9,22.7,44.6,294.88,933.64,-31.7,50.6,46.6,5759
1981,6,21,312.1,7.8,-2.1,35.3,20.1,21.9,42,296.29,935.95,-3.2,1810.9,55,5697
1981,6,22,332.8,7.4,-3.3,37.5,21.9,21.9,43.8,297.35,949.99,6.6,2103.8,52.7,5743
1981,6,23,242.1,3,-8.9,32.5,19.9,23.1,43,299.51,942.96,-0.5,7243.8,48.1,5767
1981,6,24,223.5,6.2,-4.1,33.1,21.1,23.1,44.2,296.1,938.34,-2.6,1841.3,45.8,5778
1981,6,25,227.7,2.6,-6.7,37.3,22.7,25.1,47.8,299.03,982.44,-6.5,3584.8,62.1,5800
1981,6,26,277.8,8,-1.4,42.5,21.3,24.1,45.4,298.38,977.28,-153.5,1330.8,78.3,5870
1981,6,27,257.9,5.6,-3.9,30.5,19.5,23.7,43.2,299.03,982.44,-10.7,2805,59.9,5828
1981,6,28,225.5,4.6,-4.3,30.5,19.5,23.3,42.8,298.18,977.28,-5.4,1946.2,53.7,5796
1981,6,29,201,2.1,-6.9,31.1,20.1,23.1,43.2,298.86,985.03,-1.4,3044.4,48,5760
1981,6,30,297,4.5,-7.1,45.3,25.1,25.3,50.4,298.72,942.98,-2,4064.8,62,5785
1981,7,1,284.2,5,-3.8,42.7,23.1,24.7,47.8,297.85,962.77,-56.2,1712.5,70.6,5772
1981,7,2,275.7,7,-3.3,38.3,20.3,22.5,42.8,295.81,902.77,-34.1,1373.6,56.7,5772
1981,7,3,255,6.2,-3.6,39.3,20.9,24.1,45,295.3,918.68,-28.9,2110.8,51.3,5739
1981,7,4,242.9,7.1,-3,36.1,19.5,23.5,43,295.38,910.87,-45.6,1474.8,49.5,5778
1981,7,5,182.1,7.3,-0.4,31.1,18.3,24.9,43.2,290.71,863.52,-172.2,128.8,38.1,5735
1981,7,6,238.5,4.9,-5.8,36.5,22.3,24.5,46.8,297.13,945.37,-0.5,3783.2,48.3,5763
1981,7,7,237.6,7,-3.2,32.9,19.7,21.3,41,296.12,940.73,-1.8,2208.1,47.7,5741
1981,7,8,175.1,2.9,-6.5,30.3,19.5,23.9,43.4,295.28,933.59,-3.1,3796.2,35.3,5691
1981,7,9,263.4,6.4,-4,41.5,23.3,23.9,47.2,297.35,949.99,0,2514.4,57.4,5767
1981,7,10,225.3,12.4,-1.9,34.2,16.2,18.8,35,295.37,923.73,-19.9,107.9,39.7,5860
1981,7,11,253.9,5.5,-4.4,40.9,24.3,24.9,49.2,295.48,933.59,-3.8,6.8,48.6,5754
1981,7,12,221,7.3,-2.3,36.9,21.3,22.7,44,295.32,940.76,-1.8,426.7,51.9,5732
1981,7,13,261.5,7,-3.6,38.9,22.3,23.1,45.4,296.74,945.4,-1.8,1294.2,52,5778
1981,7,14,245.7,8,-1.6,37.1,21.7,23.5,45.2,294.68,933.64,-67.8,381.6,50.3,5778
1981,7,15,254.3,7.6,-2.5,37.3,21.1,23.9,45,295.57,923.73,-34.5,1270.5,47.2,5774
1981,7,16,257.1,7.1,-4.3,39.5,21.3,23.1,44.4,297.87,935.84,-7,1548.4,62.6,5805
1981,7,17,280.7,6.4,-2.4,42.5,23.3,25.3,48.6,298.13,995.1,-103.4,1336,72.6,5818
1981,7,18,249.4,5.4,-3.5,40.9,21.9,23.7,45.6,298.28,987.59,-24.4,1875.8,67.7,5808
1981,7,19,247,3.5,-5,41.3,23.3,24.1,47.4,298.04,982.5,-15.7,2577.9,65,5770
1981,7,20,242.6,8,-2.8,39.7,21.3,23.1,44.4,296.44,931.06,-16.7,867.6,61,5830
1981,7,21,215.7,7.8,-2.6,33.3,19.5,22.5,42,296.09,935.95,-3.7,831.8,46.2,5792
1981,7,22,221.1,5,-4.6,36.1,22.1,24.9,47,294.91,918.73,-19,2833.6,46.5,5758
1981,7,23,250.8,4.8,-3.2,38.1,23.9,26.1,50,291.65,889.92,-72.9,29.1,43,5749
1981,7,24,259.1,4.8,-4.4,38.5,21.9,24.9,46.8,298.88,987.56,-13.6,3521.5,59.9,5803
1981,7,25,239.4,3.8,-5.8,32.9,21.7,25.3,47,299.27,987.53,-7.5,4227.3,60,5826
1981,7,26,221.2,2.9,-6.4,34.9,20.5,25.7,46.2,299.06,985,-20,4310,53.8,5798
1981,7,27,259.7,2.9,-6.2,40.5,23.1,25.9,49,298.88,987.56,-15.3,4086,63.5,5783
1981,7,28,221.1,1.6,-7.6,36.3,22.3,24.5,46.8,299.27,987.53,-1.6,4298.2,57.3,5756
1981,7,29,270.9,3.1,-6.8,39.7,22.7,26.5,49.2,299.85,984.94,-33.9,3207.5,66.6,5825
1981,7,30,251.9,3.4,-5.7,40.5,22.1,23.5,45.6,298.74,974.59,-14,5639.4,65.2,5791
1981,7,31,232.2,6.4,-2.9,38.1,22.1,24.3,46.4,294.39,923.87,-22.8,1164,49.5,5746
1981,8,1,242.8,5.4,-3.2,32.9,21.1,24.1,45.2,297.67,983.12,-39.9,1771.1,53.8,5791
1981,8,2,188,7.8,-0.7,32.3,18.3,24.5,42.8,292.52,903.46,-94.5,460,42.1,5751
1981,8,3,271.9,6.9,-3.6,35.5,21.1,23.1,44.2,296.3,938.34,-3.1,2511.7,48.6,5795
1981,8,4,261.2,6,-4.3,38.7,22.5,24.3,46.8,296.1,938.34,-2.3,946.1,50.9,5770
1981,8,5,289,7.8,-3.4,41.3,22.5,23.1,45.6,297.74,947.68,-1.1,1926,60.5,5789
1981,8,6,251,5.9,-4.1,32.7,21.7,25.3,47,295.42,913.48,-59.2,1290,47.6,5769
1981,8,7,244.2,10.3,2.3,30.7,15.5,23.1,38.6,290.61,860.42,0,0,40.4,5782
1981,8,8,365,9.6,-1.4,36.7,19.3,20.7,40,297.09,938.29,-2.3,13.4,60.6,5796
1981,8,9,299.7,11.9,3.3,37.3,20.7,22.9,43.6,291.54,878.41,0,0,55.8,5843
1981,8,10,266,8.8,-2,33.7,19.7,22.7,42.4,296.16,923.65,-54.6,442,53.7,5842
1981,8,11,260.2,7.5,-3.1,35.7,19.9,23.3,43.2,296.4,913.35,-29,1155.9,52.9,5805
1981,8,12,276.6,4.6,-6.1,40.3,23.3,25.1,48.4,297.03,931.03,-7.9,2228.3,53.5,5761
1981,8,13,271.7,5.1,-5.8,40.7,22.7,24.1,46.8,297.67,935.84,-3.4,1001,58,5741
1981,8,14,319.5,8,-2.9,37.5,21.5,23.1,44.6,297.47,935.87,-20.8,2431.1,56.1,5756
1981,8,15,305.7,8.3,-1.9,37.3,21.5,22.1,43.6,296.15,949.99,6.3,710.3,52.8,5762
1981,8,16,215.7,5.3,-3.7,26.5,16.5,25.9,42.4,298.24,982.5,-60.5,66.4,43.8,5824
1981,8,17,289.4,6.2,-3.5,40.1,22.5,22.9,45.4,299.51,992.6,-7.9,1806.2,70.9,5836
1981,8,18,271.2,4.3,-7.5,43.9,23.9,25.3,49.2,298.81,930.87,-10.5,4683.3,56.8,5812
1981,8,19,240.3,3.8,-7.4,36.7,22.5,24.7,47.2,297.99,928.45,-6,4827.8,47,5775
1981,8,25,289.1,4.9,-5,39.9,21.5,24.3,45.8,300.25,984.94,-25.9,795.3,62.1,5803
1981,8,26,271.7,1.3,-7.8,38.1,24.1,27.1,51.2,298.83,982.44,-13.7,3715.7,59.3,5773
1981,8,27,204.8,3.6,-4.4,35.3,20.7,25.1,45.8,296.94,972.15,-60.3,1649.9,52.6,5766
1981,8,28,215.7,4.4,-4.8,36.3,20.1,25.1,45.2,298.83,982.44,-27.6,606.2,61,5815
1981,8,29,265.2,7.2,-2.5,39.9,21.1,21.9,43,299.51,992.6,-12.4,1253.7,73.8,5848
1981,8,30,233.6,3.8,-5.6,36.3,21.7,24.5,46.2,299.31,992.6,-2.8,3117.1,59.1,5800
1981,8,31,336.4,2.3,-7.3,42.3,25.7,27.3,53,299.91,992.57,-16.1,3206.9,60.6,5784
1981,9,1,240.7,3.9,-6.1,39.1,21.9,23.5,45.4,300.51,994.54,-3.7,4753,67.3,5805
1981,9,2,277.3,2.4,-7,42.1,23.5,27.3,50.8,299.13,995.07,-17,2437.1,63,5801
1981,9,3,219.1,2.9,-6.6,38.9,21.7,25.7,47.4,299.71,992.57,-19.5,2302.6,58.5,5767
1981,9,4,314.3,0.6,-7.9,42.9,25.3,27.3,52.6,298.33,995.1,-0.4,3973,57.2,5731
1981,9,5,238.8,5,-4.2,38.3,21.5,24.3,45.8,298.66,985.03,-16.6,1774.9,64,5804
1981,9,6,293.3,1.6,-7.8,42.9,24.7,26.3,51,299.53,995.07,-0.6,4866,64,5772
1981,9,7,266.7,5.6,-3.7,41.9,22.9,23.1,46,299.14,997.54,-4.4,1290.9,72.8,5788
1981,9,8,246.7,5.7,-4,35.1,19.3,22.1,41.4,299.71,992.57,-1.1,2122.5,63,5802
1981,9,9,163.1,3.4,-5.8,27.1,15.5,24.9,40.4,298.66,985.03,-21.4,2454.3,48.4,5782
